Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code
25,Eastern,Population A,Community I,Individual 9,22.11.18,4.39091,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,7,0.748104,748.104,Population A (Community I),Community I (Individual 9)
25,Eastern,Population A,Community I,Individual 9,22.11.18,4.39091,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,5,0.910359,910.359,Population A (Community I),Community I (Individual 9)
25,Eastern,Population A,Community I,Individual 9,22.11.18,4.39091,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,1,0.104886,104.886,Population A (Community I),Community I (Individual 9)
25,Eastern,Population A,Community I,Individual 9,22.11.18,4.39091,8,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,2,0.161515,161.515,Population A (Community I),Community I (Individual 9)
26,Eastern,Population A,Community I,Individual 10,30.11.18,0.85441,5,With,Climax,Climax,2,2,Resting,Enter tree,AFT,SonsoKZ,1,0.072204,72.20400000000001,Population A (Community I),Community I (Individual 10)
26,Eastern,Population A,Community I,Individual 10,30.11.18,0.85441,5,With,Climax,Climax,2,2,Resting,Enter tree,AFT,SonsoKZ,4,0.27277,272.77000000000004,Population A (Community I),Community I (Individual 10)
26,Eastern,Population A,Community I,Individual 10,30.11.18,0.85441,5,With,Climax,Climax,2,2,Resting,Enter tree,AFT,SonsoKZ,2,0.180509,180.50900000000001,Population A (Community I),Community I (Individual 10)
26,Eastern,Population A,Community I,Individual 10,30.11.18,0.85441,5,With,Climax,Climax,2,2,Resting,Enter tree,AFT,SonsoKZ,3,0.328928,328.928,Population A (Community I),Community I (Individual 10)
27,Eastern,Population A,Community I,Individual 6,01.12.18,0.07421,2,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoKS,1,0.074209,74.209,Population A (Community I),Community I (Individual 6)
28,Eastern,Population A,Community I,Individual 1,01.12.18,0.07772,2,With,Climax,Climax,2,2,Resting,Traveling,Traveling,SonsoHW,1,0.077719,77.719,Population A (Community I),Community I (Individual 1)
29,Eastern,Population A,Community I,Individual 1,01.12.18,0.06864,2,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoHW,1,0.068644,68.64399999999999,Population A (Community I),Community I (Individual 1)
30,Eastern,Population A,Community I,Individual 1,01.12.18,0.088,2,With,Climax,Climax,2,2,Resting,Resting,Resting,SonsoHW,1,0.087997,87.997,Population A (Community I),Community I (Individual 1)
31,Eastern,Population A,Community I,Individual 1,01.12.18,0.09057,2,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,SonsoHW,1,0.090568,90.568,Population A (Community I),Community I (Individual 1)
32,Eastern,Population A,Community I,Individual 9,19.03.19,0.08053,2,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,SonsoSM,1,0.080525,80.525,Population A (Community I),Community I (Individual 9)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,1,0.148619,148.619,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,6,0.189686,189.686,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,7,0.092171,92.171,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,12,0.244231,244.231,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,3,0.077477,77.477,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,4,0.199741,199.741,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,11,0.27785,277.84999999999997,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,8,0.238227,238.227,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,2,0.208388,208.38799999999998,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,10,0.354858,354.858,Population A (Community I),Community I (Individual 11)
33,Eastern,Population A,Community I,Individual 11,31.03.19,2.22895,13,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,SonsoPS,9,0.081485,81.485,Population A (Community I),Community I (Individual 11)
